category,step_order,step_name,lead_time_days,description
トップス,1,生地調達,14,生地ベンダーへ発注・納品
トップス,2,染色加工,10,生地の染色・加工処理
トップス,3,縫製,21,パターン裁断・縫製作業
トップス,4,検品・梱包,7,品質検査・タグ付け・梱包
トップス,5,輸送・入庫,10,工場→マザー倉庫への輸送
ボトムス,1,生地調達,14,デニム・チノ生地の発注
ボトムス,2,染色加工,12,生地の染色・ウォッシュ加工
ボトムス,3,縫製,25,パターン裁断・縫製作業
ボトムス,4,検品・梱包,7,品質検査・タグ付け・梱包
ボトムス,5,輸送・入庫,10,工場→マザー倉庫への輸送
アウター,1,生地調達,21,表地・裏地・中綿の発注
アウター,2,副資材調達,14,ファスナー・ボタン等の調達
アウター,3,縫製,28,パターン裁断・縫製作業
アウター,4,検品・梱包,10,品質検査・タグ付け・梱包
アウター,5,輸送・入庫,14,海外工場→マザー倉庫への輸送
バッグ,1,素材調達,14,革・ナイロン等の素材発注
バッグ,2,裁断・縫製,21,裁断・縫製・金具取付
バッグ,3,検品・梱包,7,品質検査・梱包
バッグ,4,輸送・入庫,10,工場→マザー倉庫への輸送
アクセサリー,1,素材調達,7,素材の発注
アクセサリー,2,加工,10,加工・組立
アクセサリー,3,検品・梱包,5,品質検査・梱包
アクセサリー,4,輸送・入庫,7,工場→マザー倉庫への輸送
